Name,Wikipedia link (en),Redirected,Redirect link
Zadik–Barak–Levin syndrome,https://en.wikipedia.org/wiki/Zadik%E2%80%93Barak%E2%80%93Levin_syndrome,No,https://en.wikipedia.org/wiki/Zadik%E2%80%93Barak%E2%80%93Levin_syndrome
ZAP70 deficiency,https://en.wikipedia.org/wiki/ZAP70_deficiency,No,https://en.wikipedia.org/wiki/ZAP70_deficiency
Zamzam–Sheriff–Phillips syndrome,https://en.wikipedia.org/wiki/Zamzam%E2%80%93Sheriff%E2%80%93Phillips_syndrome,No,https://en.wikipedia.org/wiki/Zamzam%E2%80%93Sheriff%E2%80%93Phillips_syndrome
Zechi-Ceide syndrome,https://en.wikipedia.org/wiki/Zechi-Ceide_syndrome,No,https://en.wikipedia.org/wiki/Zechi-Ceide_syndrome
Zellweger syndrome,https://en.wikipedia.org/wiki/Zellweger_syndrome,No,https://en.wikipedia.org/wiki/Zellweger_syndrome
Zenker's diverticulum,https://en.wikipedia.org/wiki/Zenker%27s_diverticulum,No,https://en.wikipedia.org/wiki/Zenker%27s_diverticulum
Zieve's syndrome,https://en.wikipedia.org/wiki/Zieve%27s_syndrome,No,https://en.wikipedia.org/wiki/Zieve%27s_syndrome
Zika Virus,https://en.wikipedia.org/wiki/Zika_virus,No,https://en.wikipedia.org/wiki/Zika_virus
Zimmerman–Laband syndrome,https://en.wikipedia.org/wiki/Zimmerman%E2%80%93Laband_syndrome,Yes,https://en.wikipedia.org/wiki/Zimmermann%E2%80%93Laband_syndrome
Zinc deficiency,https://en.wikipedia.org/wiki/Zinc_deficiency,No,https://en.wikipedia.org/wiki/Zinc_deficiency
Zinc toxicity,https://en.wikipedia.org/wiki/Zinc_toxicity,No,https://en.wikipedia.org/wiki/Zinc_toxicity
Zlotogora syndrome,https://en.wikipedia.org/wiki/Zlotogora_syndrome,Yes,https://en.wikipedia.org/wiki/Rosselli%E2%80%93Gulienetti_syndrome
Zollinger–Ellison syndrome,https://en.wikipedia.org/wiki/Zollinger%E2%80%93Ellison_syndrome,No,https://en.wikipedia.org/wiki/Zollinger%E2%80%93Ellison_syndrome
Zonular cataract and nystagmus,https://en.wikipedia.org/wiki/Zonular_cataract_and_nystagmus,No,https://en.wikipedia.org/wiki/Zonular_cataract_and_nystagmus
Zori–Stalker–Williams syndrome,https://en.wikipedia.org/wiki/Zori%E2%80%93Stalker%E2%80%93Williams_syndrome,No,https://en.wikipedia.org/wiki/Zori%E2%80%93Stalker%E2%80%93Williams_syndrome
Zunich–Kaye syndrome,https://en.wikipedia.org/wiki/Zunich%E2%80%93Kaye_syndrome,No,https://en.wikipedia.org/wiki/Zunich%E2%80%93Kaye_syndrome
Zuska's disease,https://en.wikipedia.org/wiki/Zuska%27s_disease,Yes,https://en.wikipedia.org/wiki/Subareolar_abscess
Zygomycosis,https://en.wikipedia.org/wiki/Zygomycosis,No,https://en.wikipedia.org/wiki/Zygomycosis
