Name,Wikipedia link (en),Redirected,Redirect link
UDP-galactose-4-epimerase deficiency,https://en.wikipedia.org/wiki/UDP-galactose-4-epimerase_deficiency,Yes,https://en.wikipedia.org/wiki/Galactosemia
Uhl anomaly,https://en.wikipedia.org/wiki/Uhl_anomaly,No,https://en.wikipedia.org/wiki/Uhl_anomaly
Ulbright–Hodes syndrome,https://en.wikipedia.org/wiki/Ulbright%E2%80%93Hodes_syndrome,Yes,https://en.wikipedia.org/wiki/Renal_dysplasia-limb_defects_syndrome
Ulcerative colitis,https://en.wikipedia.org/wiki/Ulcerative_colitis,No,https://en.wikipedia.org/wiki/Ulcerative_colitis
Ulerythema ophryogenesis,https://en.wikipedia.org/wiki/Ulerythema_ophryogenesis,Yes,https://en.wikipedia.org/wiki/Keratosis_pilaris_atrophicans_faciei
Umbilical cord ulceration intestinal atresia,https://en.wikipedia.org/wiki/Umbilical_cord_ulceration_intestinal_atresia,Yes,https://en.wikipedia.org/wiki/Umbilical_cord_ulceration_and_intestinal_atresia
Uncombable hair syndrome,https://en.wikipedia.org/wiki/Uncombable_hair_syndrome,No,https://en.wikipedia.org/wiki/Uncombable_hair_syndrome
Uniparental disomy of 11,https://en.wikipedia.org/wiki/Uniparental_disomy_of_11,Yes,https://en.wikipedia.org/wiki/Uniparental_disomy
Uniparental disomy of 13,https://en.wikipedia.org/wiki/Uniparental_disomy_of_13,Yes,https://en.wikipedia.org/wiki/Uniparental_disomy
Uniparental disomy of 14,https://en.wikipedia.org/wiki/Uniparental_disomy_of_14,Yes,https://en.wikipedia.org/wiki/Uniparental_disomy
Uniparental disomy of 2,https://en.wikipedia.org/wiki/Uniparental_disomy_of_2,Yes,https://en.wikipedia.org/wiki/Uniparental_disomy
Uniparental disomy of 6,https://en.wikipedia.org/wiki/Uniparental_disomy_of_6,Yes,https://en.wikipedia.org/wiki/Uniparental_disomy
Uniparental disomy,https://en.wikipedia.org/wiki/Uniparental_disomy,No,https://en.wikipedia.org/wiki/Uniparental_disomy
Unverricht–Lundborg disease,https://en.wikipedia.org/wiki/Unverricht%E2%80%93Lundborg_disease,No,https://en.wikipedia.org/wiki/Unverricht%E2%80%93Lundborg_disease
Upington disease,https://en.wikipedia.org/wiki/Upington_disease,No,https://en.wikipedia.org/wiki/Upington_disease
Urachal cancer,https://en.wikipedia.org/wiki/Urachal_cancer,No,https://en.wikipedia.org/wiki/Urachal_cancer
Urachal cyst,https://en.wikipedia.org/wiki/Urachal_cyst,No,https://en.wikipedia.org/wiki/Urachal_cyst
Urbach–Wiethe disease,https://en.wikipedia.org/wiki/Urbach%E2%80%93Wiethe_disease,No,https://en.wikipedia.org/wiki/Urbach%E2%80%93Wiethe_disease
Urban–Rogers–Meyer syndrome,https://en.wikipedia.org/wiki/Urban%E2%80%93Rogers%E2%80%93Meyer_syndrome,No,https://en.wikipedia.org/wiki/Urban%E2%80%93Rogers%E2%80%93Meyer_syndrome
Urban–Schosser–Spohn syndrome,https://en.wikipedia.org/wiki/Urban%E2%80%93Schosser%E2%80%93Spohn_syndrome,Yes,https://en.wikipedia.org/wiki/Hereditary_mucoepithelial_dysplasia
Uremia,https://en.wikipedia.org/wiki/Uremia,No,https://en.wikipedia.org/wiki/Uremia
Uridine monophosphate synthetase deficiency,https://en.wikipedia.org/wiki/Uridine_monophosphate_synthetase_deficiency,Yes,https://en.wikipedia.org/wiki/Uridine_monophosphate_synthase
Urinary calculi,https://en.wikipedia.org/wiki/Urinary_calculi,Yes,https://en.wikipedia.org/wiki/Kidney_stone_disease
Urinary tract neoplasm,https://en.wikipedia.org/wiki/Urinary_tract_neoplasm,Yes,https://en.wikipedia.org/wiki/Urinary_system
Urocanase deficiency,https://en.wikipedia.org/wiki/Urocanase_deficiency,Yes,https://en.wikipedia.org/wiki/Urocanic_aciduria
Urogenital adysplasia,https://en.wikipedia.org/wiki/Urogenital_adysplasia,Yes,https://en.wikipedia.org/wiki/Renal_agenesis
Urticaria pigmentosa,https://en.wikipedia.org/wiki/Urticaria_pigmentosa,No,https://en.wikipedia.org/wiki/Urticaria_pigmentosa
Urticaria,https://en.wikipedia.org/wiki/Urticaria,Yes,https://en.wikipedia.org/wiki/Hives
Urticaria-deafness-amyloidosis,https://en.wikipedia.org/wiki/Urticaria-deafness-amyloidosis,Yes,https://en.wikipedia.org/wiki/Muckle%E2%80%93Wells_syndrome
"Usher syndrome, type 1C","https://en.wikipedia.org/wiki/Usher_syndrome,_type_1C",Yes,https://en.wikipedia.org/wiki/Usher_syndrome
"Usher syndrome, type 1D","https://en.wikipedia.org/wiki/Usher_syndrome,_type_1D",Yes,https://en.wikipedia.org/wiki/Usher_syndrome
"Usher syndrome, type 1E","https://en.wikipedia.org/wiki/Usher_syndrome,_type_1E",Yes,https://en.wikipedia.org/wiki/Usher_syndrome
"Usher syndrome, type 2A","https://en.wikipedia.org/wiki/Usher_syndrome,_type_2A",Yes,https://en.wikipedia.org/wiki/Usher_syndrome
"Usher syndrome, type 2B","https://en.wikipedia.org/wiki/Usher_syndrome,_type_2B",Yes,https://en.wikipedia.org/wiki/Usher_syndrome
"Usher syndrome, type 2C","https://en.wikipedia.org/wiki/Usher_syndrome,_type_2C",Yes,https://en.wikipedia.org/wiki/Usher_syndrome
"Usher syndrome, type 3","https://en.wikipedia.org/wiki/Usher_syndrome,_type_3",Yes,https://en.wikipedia.org/wiki/Usher_syndrome
"Usher syndrome, type IA","https://en.wikipedia.org/wiki/Usher_syndrome,_type_IA",Yes,https://en.wikipedia.org/wiki/Usher_syndrome
"Usher syndrome, type IB","https://en.wikipedia.org/wiki/Usher_syndrome,_type_IB",Yes,https://en.wikipedia.org/wiki/Usher_syndrome
Usher syndrome,https://en.wikipedia.org/wiki/Usher_syndrome,No,https://en.wikipedia.org/wiki/Usher_syndrome
Uveal diseases,https://en.wikipedia.org/wiki/Uveal_diseases,Yes,https://en.wikipedia.org/wiki/Uvea
