diseaseLabel,disease,symptomsLabel,symptoms,treatmentLabel,treatment,differentFromLabel,differentFrom,riskLabel,risk,causeLabel,cause,diagnosisLabel,diagnosis,icd9,icd10,umls,mesh,nci,link,description,alsoKnownAs
Q493103,Q493103, , , , , , , , , , , , ,359.29,G71.1,"C0221055,C1868617,C1868619",C538616,C122790, , , 
Q495068,Q495068, , , , , , , , , , , , ,344.89, ,C0234544, , , , , 
Q498826,Q498826, , , , , , , , , , , , ,271.3,E74.3,C1283620,C538139,C128190, , , 
Q499857,Q499857, , , , , , , , , , , , , , ,C0205822, ,C3702, , , 
Erraldoitasun,Q501829, , , , ,"Q1148685,Q63441625","Q1148685,Q63441625", , , , , , , ,E22.0,C0017547,D005877, ,https://eu.wikipedia.org/wiki/Erraldoitasun, , 
neurastenia,Q510236, , , , , , , , , , , , , , , ,D009440, , , , 
Q511097,Q511097, , ,"Q2858961,Q4072449,Q415343,Q421230","Q2858961,Q4072449,Q415343,Q421230", , , , , , , , ,696.0,"L40.5,L40.50",C0003872,D015535,C61277, , , 
Tetania,Q511818,Q1632123,Q1632123,"Kaltzio kloruro,Q413739,Q5018826","Q208451,Q413739,Q5018826", , , , ,hipokaltzemia,Q936382, , , , ,C0039621,D013746,C114789,https://eu.wikipedia.org/wiki/Tetania,Espasmoak eta muskulu-uzkurdurak izateko joera patologikoa, 
Q512942,Q512942, , , , , , , , , , , , , , ,C0234488, , , , , 
Q517782,Q517782, , , , , , , , , , , , , , ,C0239161, , , , , 
Q525075,Q525075, , , , , , , , , , , , ,759.6, ,C0018552,D006222, , , , 
Q541852,Q541852, , , , , , , , , , , , , ,Q84.1,C0432347,C536939, , , , 
Q545403,Q545403, , , , , , , , , , , , , , ,C1859408, , , , , 
Q550061,Q550061, , , , , , , , , , , , , , ,C0856169, , , , , 
mielitis,Q551085,hantura,Q101991, , , , , , , , , , ,323.9, ,C0026975,D009187,C26832,https://eu.wikipedia.org/wiki/Mielitis,Ornomuinaren hantura, 
Q557009,Q557009, , , , , , , , , , , , , , ,C0265228, ,C99008, , , 
Q558404,Q558404,"Ikterizia,goragale","Q133244,Q186889", , , , , , ,alkohol kontsumoa,Q2647488,"Hemograma,Q1359801","Q1359801,Q886518", , , ,D008108, , , , 
afakia,Q558623, , , , ,Afasia,Q2836, , , , , , , , , ,D001035, , , , 
Q567694,Q567694, , , , ,anarkia,Q31895, , , , , , , ,Q55.0, , , , , , 
Anoxia,Q568321, , , , , , , , , , , , , , , , ,C2876, ,ehun batean gertatzen den oxigeno falta erabatekoa, 
Eisenmengerren sindrome,Q572695, , , , , , , , , , , , , ,I27.2,C0013743,D004541,C84390,https://eu.wikipedia.org/wiki/Eisenmengerren_sindrome, , 
Q574975,Q574975,"Hipermetropia,Midriasi,Q1929023,Q3443277,Q4930803,Takikardia,hipertermia,oliguria,xerostomia","Q1128283,Q1162276,Q177254,Q1929023,Q209583,Q242165,Q3443277,Q4930803,Q961326", , , , , , ,Q113259,Q113259, , , , , ,D064807, , , , 
Q580754,Q580754, , , , ,"Q61777085,masokismo","Q12754745,Q61777085", , , , , , , , ,C1404989, , , , , 
jaioberriaren onfalitis,Q586878, , , , , , , , , , , , , , , , ,C116008,https://eu.wikipedia.org/wiki/Jaioberriaren_onfalitis,zilborraren hantura, 
Q589612,Q589612, , , , , , , , , , , , , , , ,D009232, , , , 
Q593277,Q593277, , , , , , , , , , , , , , ,C0549410,D060831, , , , 
Q605576,Q605576,"Q47085690,hantura","Q109186,Q47085690", , , , , , , , , , , , , ,D062108, , , , 
Q608085,Q608085, , ,"Hidroxiklorokina,Q2319112,Q2775914,Q284959,Q518114","Q2319112,Q2775914,Q284959,Q421094,Q518114", , , , , , , , ,692.72, ,"C0031762,C0162824",D017454, , , , 
Q609066,Q609066, , , , , , , , , , , , , , ,C3495892, , , , , 
Q609675,Q609675, , , , , , , , , , , , , ,I28.8, , , , , , 
keratokono,Q611984, , , , , , , , , , , , ,"371.6,371.60","H18.6,H18.60",C0022578,D007640,C26806, ,"Kornearen kurbaduraren aldaketa progresiboa, kono-itxura hartzen duena. Astigmatismo irregularra sortzen du", 
Tortikoli,Q615363, , , , , , , , , , , , , , ,C0040485,D014103, ,https://eu.wikipedia.org/wiki/Tortikoli,"Lepoa mugitzea eragozten duen eta burua okertuta eramatera behartzen duen lepoko gaitz mingarria, lepoko muskuluren bat uzkurtzean edo lepaornoen lesioren bat gertatzean sortzen dena", 
Litiasi,Q617079, , , , ,kalkulu,Q149972, , , , , , , , ,"C0023869,C1269628",D002137, ,https://eu.wikipedia.org/wiki/Litiasi, ,Lithiase
Q618246,Q618246, , , , , , , , , , , , , , , , ,C99099, , , 
Q621053,Q621053, , , , , , , , , , , , , , , , , , , , 
Q622437,Q622437, , , , , , , , , , , , ,273.4,"E88.0,E88.01","C0221757,C3501835",D019896,C84397, , , 
Q624590,Q624590, , , , , , , , , , ,Q108525708,Q108525708, ,G93.0,"C0078981,C0751615",D016080,C3455, , , 
Erditze goiztiar,Q625506, , , , ,"Q45051448,Q745832,abortu","Q45051448,Q745832,Q8452", , , , , , , , , ,D047928,C92861,https://eu.wikipedia.org/wiki/Erditze_goiztiar, , 
Q625935,Q625935, , , , , , , , , , ,Q56275800,Q56275800, , ,"C0019555,C1306065",D006618,"C116769,C119752", , , 
Q628648,Q628648,"Q55105885,otalgia,zerbikalgia","Q1596398,Q3567802,Q55105885", , , , , , , , , , ,733.99, ,C1868714,C538010, , , , 
Q629515,Q629515, , , , , , , , , , , , , , , , , , , , 
lanbide gaixotasun,Q637816, , , , , , , , , , , , , , ,C0028797,D009784, , , ,gaixotasun profesional
Q640836,Q640836, , , , , , , , , , , , , , ,C0796022,C537724, , , , 
Q648982,Q648982,Q47085690,Q47085690, , , , , , ,zilar,Q1090, , , ,T56.8,C0003782,D001129, , , , 
Q652568,Q652568, , , , , , , , , , , , ,379.45,H57.01,C0155375, , , , , 
Q653200,Q653200, , , , , , , , , , , , ,734, ,"C0016202,C0264133",D005413,C34616, , , 
Q653383,Q653383,"Makatu,min","Q574491,Q81938", , , , , , , , , , , , , , , , , , 
Q655982,Q655982, , , , , , , , , , , , ,277.89,C96.6,C0014461,D004803,C3016, , , 
Q656199,Q656199, , , , , , , , , , , , , , , , , , , , 
erradiodermitis,Q658873, , , , , , , , ,Q2737837,Q2737837, , , , ,"C0034561,C1504534",D011855,"C3349,C50722", ,X izpiek edo substantzia erradioaktiboek eragindako dermatitisa,erradiodermatitis
Q667681,Q667681, , , , , , , , , , , , , , ,C0265218,C536405, , , , 
Q677803,Q677803, , , , , , , , , , , , ,588.89, ,"C1619692,C3888044",D054989,C115158, , , 
Q688890,Q688890, , , , , , , , , , , , , ,Q33.2,C0006288,D001998, , , , 
Q688949,Q688949, , , , , , , , , , , , , , ,C0016052,D005352,C84714, , , 
Q689777,Q689777, , , , , , , , , , , , , ,G24.8,C1851920,C538007,C116719, , , 
disosmia,Q690210, , , , , , , , , , , , , , , , ,"C116370,C86949", ,Usaimen-arazoen izen generikoa, 
Q691112,Q691112, , , , , , , , , , , , , , , , , , , , 
hemorragia subaraknoideo,Q693442,"fotofobia,oka","Q127076,Q281289","Nimodipino,Q418666","Q418666,Q421429", , , , ,aneurisma,Q189389,ordenagailu bidezko tomografia axiala,Q32566,430, ,C0038525,D013345,C50757, ,"Garuneko araknoide mintzaren eta piamaterraren artean odola agertzea, horko odol-hodi bat apurtzearen ondorioz. Aneurisma batek, trauma batek edo hipertentsioak eragin dezake apurketa", 
Q695954,Q695954, , , , , , , , , , , , , , , , , , , , 
Izu-atake,Q696490, , , , ,Q48862213,Q48862213, , , , , , , , , , , ,https://eu.wikipedia.org/wiki/Izu-atake, , 
Hernia diskala,Q697117, , , , , , , , , , , , , , ,"C0021818,C1832597",D007405, ,https://eu.wikipedia.org/wiki/Hernia_diskal,"Bizkarrezurrean, ornoen arteko diskoak inguratzen dituen fibrokartilagotik zehar diskoaren zati bat kanporantz ateratzea","Eten diskala,Orno arteko diskoaren desplazamendua,hernia diskal"
Q707837,Q707837, , , , , , , , , , , , , , ,"C0003855,C0332965",D001164,"C35377,C36192", , , 
Q719727,Q719727, , , , , , , , , , , , , , ,C0877391, , , , , 
Q720020,Q720020, , , , , , , , , , , , , , ,"C0334492,C1261473,C2211494", ,C9306, , , 
Q733616,Q733616, , , , , , , , , , , , , , ,C0014741,D004891, , , , 
Q734042,Q734042, , , , , , , , , , , , , ,D59.6,"C0086774,C0272129",C538618, , , , 
Q734123,Q734123, , , , , , , , , , , , , , ,C0840927, , , , , 
aspermia,Q736599, , , , , , , , , , , , , , , ,D053714, , ,Esperma gabezia edo gutxiegiko jarioa, 
Q736633,Q736633, , , , , , , , , , , , , , ,C0265325,C536928,"C130202,C3938", , , 
Epikondilitis,Q736776, , , , , , ,Q662860,Q662860, , , , , , ,C0039516,D013716, ,https://eu.wikipedia.org/wiki/Epikondilitis, ,Tenislariaren ukondoa
Q737712,Q737712, , , , ,Asplenia,Q4808113, , , , , , , , , , , , , , 
Condylom,Q738101, , , , , , , , , , , , , , , , , ,https://eu.wikipedia.org/wiki/Kondiloma, , 
Q740731,Q740731, , , , , , , , , , , , , , ,C0259756, , , , , 
Q744305,Q744305, , , , , , , , , , , , , , ,C0024003,D008141,C34787, , , 
Q748376,Q748376, , , , , , , , , , , , , , , ,D020752,C84348, , , 
atelektasia,Q754031, , , , , , , , , , , , , , ,C0004144,D001261,C2888, ,"Albeoloak airez hustu eta uzkurtzen direnean, birika osoaren edo birika-zati batean gertatzen den kolapsoa. Arrazoi nagusia bronkioen butxaketa izaten da", 
Q754447,Q754447, , , , , , , , , , , , , , ,C0035243,D012141, , , , 
Q757676,Q757676, , , , , , , , , , , , , , , , , , , , 
Q758294,Q758294, , , , , , , , , , , , , ,C71.5, , ,C53686, , , 
Q762583,Q762583, , , , ,Q11687105,Q11687105, , , , , , , , ,C0333355, , , , , 
Q174651,Q174651,"Q2046811,Q2074059,Q2076329","Q2046811,Q2074059,Q2076329", , , , , , , , , , , ,H51.8,C0270706, , , , , 
Astigmatismo,Q177895, , , , ,Q2423400,Q2423400, , , , , , ,"367.2,367.20","H52.2,H52.20",C0004106,D001251, ,https://eu.wikipedia.org/wiki/Astigmatismo, , 
Psoriasi,Q179945, , ,"Antiinflamatorio ez esteroideo,Q155682,Q155683,Q27294232,Q2858961,Q385370,Q3981685,Q904011,metotrexato","Q155682,Q155683,Q188724,Q27294232,Q2858961,Q385370,Q3981685,Q422232,Q904011", , ,"Estres,Gizeneri,Q662860,xerosi","Q12174,Q123414,Q2723497,Q662860", , , , , ,"L40,L40.9",C0033860,D011565,C3346,https://eu.wikipedia.org/wiki/Psoriasi, , 
Metastasi,Q181876, , , , , , , , , , , , , , ,C2939420,D009362,C3261,https://eu.wikipedia.org/wiki/Metastasi, , 
Gastritis,Q183130, , ,"Omeprazol,Q254296,Q286846,Q420394,Q5268339,Q553223,erranitidina","Q254296,Q286846,Q420394,Q422210,Q423037,Q5268339,Q553223", , , , , , , , ,"535.0,535.00,535.01,535.4,535.40,535.41",K29.7,C0017152,D005756,C26780,https://eu.wikipedia.org/wiki/Gastritis,Urdaileko mukosaren hantura, 
Septizemia,Q183134,"Q24869904,Q3073147,hotzikara","Q2260058,Q24869904,Q3073147","Amikazina,Q1082945,Q1638852,Q2353907,Q2552927,Q2601832,Q2602246,Q3307752,Q412888,Q418546,Q418725,Q423787,Q425152,Q553220,Zeftazidima,gentamizina,zefotaxima,zeftriaxona","Q1082945,Q1638852,Q2353907,Q2552927,Q2601832,Q2602246,Q3307752,Q408529,Q412888,Q417968,Q418546,Q418725,Q421713,Q422482,Q423787,Q425152,Q553220,Q808845", , ,infekzio,Q166231, , , , , , ,C0036690,D018805, ,https://eu.wikipedia.org/wiki/Septizemia, ,"Bakteriemia,Sepsi,Sepsis"
birika-enfisema,Q188605, , ,"Q1073333,Q375613,Q4673059,Q471763,Q5104342,Teofilina","Q1073333,Q375613,Q407308,Q4673059,Q471763,Q5104342", , , , ,Q662860,Q662860, , ,492.8,J43.8,"C0029607,C0034067",D011656, ,https://eu.wikipedia.org/wiki/Enfisema, , 
hipomania,Q188611, , , , , , , , , , , , , , , , ,C78349, ,Gradu apaleko maniatzat hartzen den kitzikapen-egoera, 
bihotzeko arritmia,Q189331, , ,"Lidokaina,Papaberina,Q20078502,Q3712521,Q408637,Q409468,Q410061,Q413591,Q420262,Q421381,Q422222,Q514534,Q662511,Q757058,Q7700570,Q904071","Q20078502,Q216935,Q3712521,Q408637,Q409468,Q410061,Q410374,Q413591,Q420262,Q421381,Q422222,Q514534,Q662511,Q757058,Q7700570,Q904071", , , , , , , , ,427.9, ,"C0003811,C0237314,C0340464",D001145,C2881,https://eu.wikipedia.org/wiki/Arritmia, , 
aneurisma,Q189389, , , , ,Q2483519,Q2483519, , , , , , , , , ,D000783,C26693,https://eu.wikipedia.org/wiki/Aneurisma,odol hodien paretetan dauden odolbeteak, 
fistula,Q189470, , , , ,Vistula,Q548, , , , , , , , , ,D005402,C3045,https://eu.wikipedia.org/wiki/Fistula,"Bi anatomia-atal, edo atal bat eta azala, komunikazio zuzen eta anormalean jartzen dituen hodi patologikoa", 
kardiopatia,Q190805,"Arnasestu,Aszitis,Edema,Q3540864,Sinkope,Takikardia,bihotzeko arritmia,bularreko angina,bularreko min,hipertentsio","Q152234,Q180007,Q180762,Q188008,Q189331,Q193889,Q209583,Q3540864,Q41861,Q693058","Atorbastatina,Azido azetilsaliziliko,Dobutamina,Klopidogrel,Q155472,Q15623825,Q20078502,Q263612,Q3221044,Q3712521,Q409468,Q410061,Q412534,Q412765,Q414462,Q415159,Q420262,Q420542,Q48566700,Q48566757,Q48566808,Q6457467,Q7700570,Sildenafilo,Warfarina,furosemida","Q155472,Q15623825,Q18216,Q191521,Q20078502,Q263612,Q3221044,Q3712521,Q388801,Q407431,Q409468,Q410061,Q410237,Q412534,Q412765,Q414462,Q415159,Q420262,Q420542,Q422782,Q48566700,Q48566757,Q48566808,Q6457467,Q668093,Q7700570", , ,Q662860,Q662860, , , , ,"429.89,429.9,V47.2",I51.9,C0018799,D006331,C3079,https://eu.wikipedia.org/wiki/Kardiopatia,Bihotzeko gaixotasunen izen generikoa, 
Jet lag,Q192579,"Q29299,buruko min,loaren nahasmendu,neke","Q177190,Q29299,Q86,Q9690",Melatonina,Q180912, , , , ,aldaketa,Q1150070, , , ,G47.25, ,D020179, ,https://eu.wikipedia.org/wiki/Jet_lag, , 
kiste,Q193211, , , , , , , , , , , , , , , ,D003560,C2978,https://eu.wikipedia.org/wiki/Kiste,poltsa moduko barrunbe itxia, 
Fenilzetonuria,Q194041, , , , , , , , , , , , ,270.1, ,C0031485,D010661,C81315,https://eu.wikipedia.org/wiki/Fenilzetonuria,"Entzima baten eskasiak sortutako gaixotasun hereditarioa, garaiz tratatzen ez bada adimen-eskasia eta arazo neurologikoak sor ditzakeena", 
