diseaseLabel,disease,symptomsLabel,symptoms,treatmentLabel,treatment,differentFromLabel,differentFrom,riskLabel,risk,causeLabel,cause,diagnosisLabel,diagnosis,icd9,icd10,umls,mesh,nci,link,description,alsoKnownAs
Q16242812,Q16242812, , , , , , , , ,eragin desiragaitz,Q2047938, , , , , , , , , , 
Q16252204,Q16252204, , , , , , , , , , , , , ,E72.0,C1857253,C536171, , , , 
Q16254348,Q16254348, , , , , , , , , , , , , , , , ,C128045, , , 
Q16254825,Q16254825, , , , , , , , , , , , , , , , , , , , 
Q16256637,Q16256637, , , , , , , , , , , , , , , , , , , , 
Q16257070,Q16257070, , , , , , , , , , , , , , , , , , , , 
Q16257164,Q16257164, , , , , , , , , , , , , , ,C0334113, , , , , 
Q16257997,Q16257997, , , , , , , , , , , , , , , , , , , , 
Q16258700,Q16258700, , , , , , , , , , , , , , ,"C1335184,C1335185,C1518237", ,"C40089,C5240,C7280", , , 
Q16258703,Q16258703, , , , , , , , , , , , , , ,C0403601, , , , , 
Q16258730,Q16258730, , , , , , , , , , , , , , ,C0270239, , , , , 
Q16333787,Q16333787,"Edema,Q192100,linfedema","Q152234,Q192100,Q916398", , , , , , ,infekzio,Q166231, , , ,B74.0, , , , , , 
Q16525336,Q16525336, , , , , , , , , , , , , , ,C1266025, , , , , 
Q16525339,Q16525339, , , , , , , , , , , , , , , , , , , , 
Q16534561,Q16534561, , , , , , , , , , , , , , , , , , , , 
Q16536795,Q16536795, , , , , , , , , , , , , , ,C4227637, , , , , 
Q16539538,Q16539538, , , , , , , , , , , , , , ,C4048704, , , , , 
Q16543725,Q16543725, , , , , , , , , , , , , ,M35.8,C0409999,D000074079,C116776, , , 
Q16545548,Q16545548, , , , , , , , , , , , , , ,C0458101, , , , , 
Q16550087,Q16550087, , , , , , , , , , , , ,756.59,Q87.1,C0432230,C537267,C126876, , , 
Q16555939,Q16555939, , , , , , , , , , , , , , ,C3203500, , , , , 
Q16557618,Q16557618, , , , , , , , , , , , , , ,C1837029, , , , , 
Q16567703,Q16567703,"Q102187500,Q1260186,adenopatia,hotzikara","Q102187500,Q1260186,Q2260058,Q847726", , , , , , ,Neorickettsia sennetsu,Q16978225, , ,088.89, ,C0520779,C537582, , , , 
Q16574388,Q16574388, , , , , , , , , , , , , , ,C4049319, , , , , 
Q16628291,Q16628291, , , , , , , , , , , , , , ,C0948855, , , , , 
Q16637263,Q16637263, , , , , , , , , , , , , , , , , , , , 
Q16642630,Q16642630, , , , , , , , , , , , , , ,C1332345, ,C5665, , , 
Q16661734,Q16661734, , , , , , , , , , , , , , ,C1519840, ,C39852, , , 
Q16662546,Q16662546, , , , , , , , , , , , , ,G60.0, , , , , , 
Q16662548,Q16662548, , , , , , , , , , , , , ,G60.0, , , , , , 
Q16662567,Q16662567, , , , , , , , , , , , , ,A81.8, , , , , , 
Q16678468,Q16678468, , , , , , , , , , , , , , , , ,C118170, , , 
Q16678483,Q16678483, , , , , , , , , , , , , ,"H81,H81.9,H81.90",C0042594,D015837, , , , 
Q16681405,Q16681405, , , , , , , , , , , , , , ,C0859920, ,C7367, , , 
Q17122962,Q17122962,Q19597858,Q19597858, , ,Q1154619,Q1154619, , , , , , , ,Q74.8,C1861099,C535564, , , , 
Q17124192,Q17124192, , , , , , , , , , , , , , , , , , , , 
Q17125068,Q17125068, , , , , , , , , , , , , ,Q87.8,C1855477,C535769, , , , 
Q17125239,Q17125239, , , , , , , , , , , , , ,I40.8, , , , , , 
Q17125280,Q17125280, , , , , , , , , , , , , , , , , , , , 
Q17125282,Q17125282, , , , , , , , , , , , , , , , , , , , 
Q17125786,Q17125786, , , , , , , , , , , , ,733.29,Q78.8,C0432254,C537343, , , , 
Q17126040,Q17126040, , , , , , , , ,eragin desiragaitz,Q2047938, , , , , , , , , , 
Q17126319,Q17126319, , , , , , , , , , , , , , , , , , , , 
Q17128230,Q17128230, , , , , , , , , , , , , ,Q87.8,C0796005,C537008, , , , 
nerbio axilarreko lesio,Q17130620, , , , , , , , , , , , , , ,C0161456, , , , , 
Q17133302,Q17133302, , , , , , , , , , , , , , ,C1832434,C536713, , , , 
Q17141201,Q17141201, , ,"Kliokinol,Mikonazol,Q3359058,Q407883,Q411229,Q413586,Q415238,Q415259,Q417141,Q419468,Q5643439,Q850729,Sulkonazol,griseofulbina","Q2392530,Q3359058,Q407883,Q410534,Q411229,Q413586,Q415238,Q415259,Q416096,Q417141,Q419468,Q5134338,Q5643439,Q850729",Q1955436,Q1955436, , , , , , , , ,C0040247,D014005,C112181, , , 
Q17141594,Q17141594, , , , , , , , , , , , , ,E70.8,C0268514,C536479, , , , 
Q17141939,Q17141939, , , , , , , , , , , , , ,G54.5,"C0221759,C1510479", , , , , 
Q17142640,Q17142640, , , , , , , , , , , , , ,D89.8,C0238239, ,C7727, , , 
Q17143464,Q17143464, , , , , , , , , , , , , , ,C1970203,C567020, , , , 
Q17143593,Q17143593, , , , , , , , , , , , , , , , ,C99237, , , 
Q17144153,Q17144153, , , , , , , , , , , , ,759.89,Q87.0,C0796085,C538336, , , , 
Q17144183,Q17144183, , , , , , , , , , , , , , ,C0040445,D014086, , , , 
Q17144875,Q17144875, , , , , , , , , , , , , , ,CL480915,D053718,C85061, , , 
Q17145912,Q17145912, , , , , , , , , , , , , , , , , , , , 
Q17146775,Q17146775, , , , , , , , , , , , , , ,"C0020455,C0151669,C0541985,C1306857,C2048011",D006942,C34705, , , 
Q17147306,Q17147306, , , , , , , , , , , , , , , , , , , , 
Q17147649,Q17147649, , , , , , , , , , , , , , , , , , , , 
Q17148020,Q17148020, , , , , , , , , , , , , , , , , , , , 
Q17148432,Q17148432, , ,"Q415343,Q415411,Q425154,metotrexato,prednisolona","Q11426176,Q415343,Q415411,Q422232,Q425154", , , , , , , , , ,M08.2,"C0087031,C1384600", ,C119031, , , 
Q17148651,Q17148651, , , , , , , , , , , , , , ,C0263358, , , , , 
Q17149251,Q17149251, , , , , , , , , , , , , , ,C0587044, , , , , 
Q17151226,Q17151226, , , , , , , , , , , , , , ,"C0455997,C0859974", , , , , 
Q17152451,Q17152451, , , , , , , , , , , , , , ,C4014934, ,C176703, , , 
Q17152512,Q17152512, , ,Q420164,Q420164, , , , , , , , , ,C91.6,"C0023494,C2363142",D015461,"C4752,C70649", , , 
Q17153517,Q17153517, , , , , , , , , , , , , , ,C0751161, , , , , 
Q17153898,Q17153898, , , , , , , , , , , , , , ,C3163953, , , , , 
Q17154586,Q17154586, , , , , , , , , , , , , , ,C3274592, , , , , 
Q17155571,Q17155571, , , , , , , , , , , , , ,Q87.8,C1849649,C535829,C125418, , , 
Q17155582,Q17155582, , , , , , , , , , , , , , ,C0264614, , , , , 
Q17155680,Q17155680, , , , , , , , , , , , , , ,C0349719, , , , , 
Q17156972,Q17156972, , , , , , , , , , , , , , ,CL508387, , , , , 
Q17162578,Q17162578, , , , , , , , , , , , ,759.89,Q87.3,C1865285,C536142, , , , 
Q17162726,Q17162726, , , , , , , , ,Q5535279,Q5535279, , , , , , , , , , 
Q17163513,Q17163513, , , , , , , , , , , , , , , , , , , , 
Q17164695,Q17164695, , , , , , , , , , , , , , , , , , , , 
Q17165269,Q17165269, , , , , , , , , , , , , , , , , , , , 
Q17326470,Q17326470,bihotz-gutxiegitasun,Q181754, , , , , , , , , , ,"428.2,428.20","I50.2,I50.20",C1135191,D054143, , , , 
Q17332514,Q17332514,nistagmo,Q220989, , , , , , , , , , ,759.89,Q15.8,C1849409,C537209, , , , 
Q17521095,Q17521095, , , , , , , , , , , , ,537.89, ,C0001727,D000343, , , , 
Q17521767,Q17521767, , , , ,Q17521769,Q17521769, , , , , , , , , , , , , , 
Q17538998,Q17538998, , , , , , , , , , , , , ,G12.1,C1867005,C566695, , , , 
Q17539935,Q17539935, , , , , , , , , , , , , ,H90.5,"C1857342,C3806275", , , , , 
Q17540092,Q17540092,Q7005041,Q7005041, , , , , , , , , , ,757.8,E88.2,C0406612,C535736,C4701, , , 
Q17540795,Q17540795, , , , , , , , , , , , , , ,"C1834818,C2931461",C537269, , , , 
Q17627190,Q17627190, , , , , , , , , , , , , ,"Q71.8,Q72.8,Q73.8",C0018987, ,C34674, , , 
Q17631462,Q17631462, , , , , , , , , , , , , , , , , , , , 
Q17635591,Q17635591, , ,Q18936,Q18936, , , , , , , , , ,C83.3,C3472614,D000069293,C7224, , , 
Q17639642,Q17639642, , , , , , , , , , , , , , , , , , , , 
Q17640201,Q17640201, , , , , , , , , , , , , , ,"C0037579,C0334449",D012983,C3377, , , 
Q17651228,Q17651228, , ,"Q47495791,Ziprofloxazino","Q256602,Q47495791", , , , , , , , ,"590,590.9",N15.9,C0021313, , , , , 
Q17993333,Q17993333, , , , , , , , , , , , ,160.2,C31.0,"C0153476,C0740487", ,"C3540,C9332", , , 
Q18018210,Q18018210, , , , , , , , , , , , , , ,C0274702, , , , , 
Q18019453,Q18019453,Q3539484,Q3539484, , , , , , , , , , , , , , , , , , 
Q18020133,Q18020133, , , , , , , , , , , , ,759.89,Q87.8,C0265263,C537916, , , , 
Q18020927,Q18020927, , , , , , , , , , , , , ,G11.8,C1859305,C565870, , , , 
Lipotimia,Q18054140, , , , ,Q220931,Q220931, , , , , , , , ,C0344329, , ,https://eu.wikipedia.org/wiki/Lipotimia, , 
Q18070807,Q18070807, , , , , , , , , , , , ,377.23,"H47.31,H47.319,Q14.2",C0393782,C535970, , , , 
Q18140710,Q18140710, , , , , , , , , , , , , , , ,D002573, , , , 
Q18199350,Q18199350,"Ahultasun muskular,gortasun","Q12133,Q270421", , , , , , , , , , , , , , , , , , 
Q18209712,Q18209712, , , , , , , , , , , , , , , , , , , , 
Q18209717,Q18209717, , , , , , , , , , , , , , ,C1860518,C566007, , , , 
Q18211695,Q18211695, , , , , , , , , , , , , , ,C0345309, , , , , 
Q18211751,Q18211751, , , , , , , , , , , , , , ,C0042994,D014845,C27631, , , 
Q18324719,Q18324719,"Odoljario,Q178061,artralgia,oka","Q127076,Q166019,Q178061,Q683498", , , , , , ,Q839212,Q839212, , , ,A96.8, , , , , , 
Q18350119,Q18350119, , , , , , , , , , , , , , ,CL508662,C000629404, , , , 
Q18357155,Q18357155, , , , , , , , , , , , , , ,C0267783, , , , , 
Q18358559,Q18358559, , , , , , , , , , , , , , , , , , , , 
Q18387306,Q18387306, , , , , , , , , , , , , , ,C0302254, , , , , 
Q18395602,Q18395602, , , , , , , , ,eragin desiragaitz,Q2047938, , , , ,C1631074, , , , , 
Q18405286,Q18405286, , , , , , , , , , , , , , , , , , , , 
Q18411789,Q18411789, , , , , , , , , , , , , , , , , , , , 
Q18411838,Q18411838, , , , , , , , , , , , , ,Q74.8,C1856728,C538189, , , , 
Q18412454,Q18412454, , , , , , , , , , , , , ,Q87.8,C1856095,C535327, , , , 
Q18424118,Q18424118, , , , , , , , , , , , ,277.89,E74.4,C0268194,C536654,C99015, , , 
Q18449898,Q18449898, , , , , , , , , , , , , , , , , , , , 
Q18452351,Q18452351, , , , , , , , , , , , , ,D68.2,C0015499,D005166,C98938, , , 
Q18455817,Q18455817, , , , , , , , , , , , ,288.09, ,C0272174,C562721, , , , 
Q18457101,Q18457101, , , , , , , , , , , , , , ,C4087189, , , , , 
Q18469530,Q18469530, , , , , , , , , , , , , , , , , , , , 
Q18477691,Q18477691, , , , , , , , , , , , ,130.0, , ,D016781, , , , 
Q18553032,Q18553032, , , , , , , , , , , , ,"275.8,275.9","E83,E83.0,E83.1,E83.2,E83.3,E83.4,E83.5,E83.8,E83.9", , , , , , 
Q18553199,Q18553199, , , , , , , , , , , , , , , , , , , , 
Q18553201,Q18553201, , , , , , , , , , , , ,020.8, ,C0275757, , , , , 
Q18553207,Q18553207,beherako,Q40878, , , , , , , , , , , , , , , , , , 
Q18553224,Q18553224, , , , , , ,Q662860,Q662860, , , , ,"478.1,478.19", ,C0029581, , , , , 
Q18553230,Q18553230,"Hipotentsio,Q178061,bizkarreko mina,goragale,hotzikara","Q178061,Q186889,Q2260058,Q275419,Q5781808", , , , , , , , , , , , , , , , , , 
Q18553231,Q18553231,Odoljario,Q166019, , , , , , ,infekzio,Q166231, , , ,A96.8, , , , , , 
Q18553238,Q18553238,"Q1214063,beherako,goragale,idorreri,oka","Q1214063,Q127076,Q178436,Q186889,Q40878", , , , , , ,infekzio,Q166231, , , , , , , , , , 
Q18553243,Q18553243, , , , , , , , ,infekzio,Q166231, , , , , ,D050738, , , , 
Q18553246,Q18553246, , , , , , , , , , , , ,759.89,Q87.8,C0265269,C538132, , , , 
Q18553255,Q18553255, , , , , , , , , , , , , ,C64,"C0279702,C2750825,C3160732", , , , , 
Q18553256,Q18553256, , , , , , , , , , , , , ,D84.1,"C0001733,C3463916",C572568, , , , 
Q18553281,Q18553281, , , , , , , , , , , , , , , , , , , , 
Q18553282,Q18553282, , , , , , , , , , , , , , , , , , , , 
Q18553289,Q18553289, , , , , , , , , , , , ,335.19,G12.1,"C0393538,C2931358", ,C156310, , , 
Q18553298,Q18553298, , , , , , , , , , , , , , , , , , , , 
Q18553299,Q18553299, , , , , , , , , , , , , ,Q56.1,C3151055,C566130, , , , 
Q18553300,Q18553300, , , , , , , , , , , , , ,C73,C1833921,C536911,C46099, , , 
Q18553302,Q18553302, , , , , , , , , , , , , ,Q87.1,C0432233,C536820,C75109, , , 
Q18553304,Q18553304, , , , , , , , , , , , , , , , , , , , 
Q18553306,Q18553306, , , , , , , , , , , , , , , ,C535523, , , , 
Q18553311,Q18553311, , , , , , , , , , , , , ,H90.3,C1848294,C564727, , , , 
Q18553320,Q18553320, , , , , , , , , , , , , ,H35.5,C3150833, , , , , 
Q18553321,Q18553321, , , , , , , , , , , , , ,E74.0,C3150754, , , , , 
Q18553324,Q18553324, , , , , , , , , , , , , ,G71.2, , , , , , 
Q18553330,Q18553330, , , , , , , , , , , , , , , , , , , , 
Q18553331,Q18553331, , , , , , , , , , , , , , , , , , , , 
Q18553335,Q18553335, , , , , , , , , , , , , , , ,C563168,C7542, , , 
Q18553359,Q18553359, , , , , , , , , , , , , , , , , , , , 
Q18553364,Q18553364, , , , , , , , , , , , , , ,C0345913,D001661,C4441, , , 
Q18553375,Q18553375, , , , , , , , , , , , , , ,C1852597,C535384, , , , 
Q18553385,Q18553385, , , , , , , , , , , , , ,H35.5,"C2678493,C3888198",C567518, , , , 
Q18553387,Q18553387, , , , , , , , , , , , , , , , , , , , 
Q18553388,Q18553388, , , , , , , , , , , , , , ,C3146244, ,C92727, , , 
Q18553396,Q18553396, , , , , , , , , , , , , , , , , , , , 
Q18553400,Q18553400, , , , , , , , , , , , , , , ,D009371, , , , 
Q18553403,Q18553403, , , , , , , , , , , , ,154.2, , , , , , , 
Q18553411,Q18553411, , , , , , , , , , , , , , , , , , , , 
Q18553413,Q18553413, , , , , , , , , , , , , ,G40.4, , , , , , 
Q18553415,Q18553415, , , , , , , , , , , , , , , , , , , , 
Q18553421,Q18553421, , , , , , , , , , , , , , , , ,C183524, , , 
Q18553422,Q18553422, , , , , , , , , , , , , ,E72.1,C1848578,C564747,C183525, , , 
Q18553423,Q18553423, , , , , , , , , , , , , , , , , , , , 
Q18553424,Q18553424, , , , , , , , , , , , ,266.2,G31.8,"C2751584,C4022901",C567791, , , , 
Q18553425,Q18553425, , , , , , , , , , , , , , , , , , , , 
Q18553428,Q18553428, , , , , , , , , , , , ,277.6,E72.8,C1291463, , , , , 
Q18553432,Q18553432, , , , , , , , , , , , , , , , , , , , 
Q18553435,Q18553435, , , , , , , , , , , , , , , , ,C142173, , , 
Q18553437,Q18553437, , , , , , , , , , , , ,281.3,D51.0,"C0340957,C1394891",C563242, , , , 
Q18553441,Q18553441, , , , , , , , , , , , , , , ,D050174, , , , 
Q18553442,Q18553442, , , , , , , , , , , , ,758.5, , , , , , , 
Q18553463,Q18553463, , , , , , , , , , , , , ,E88.8,"C2700431,C3276276", , , , , 
Q18553466,Q18553466, , , , , , , , , , , , ,756.9,Q77.7,C0432194,C536637, , , , 
Q18553471,Q18553471, , , , , , , , , , , , , , ,C0393666, , , , , 
Q18553473,Q18553473, , , , , , , , , , , , , ,Q70.9,"C1861385,C3714899",C536223, , , , 
Q18553479,Q18553479, , , , , , , , , , , , , , ,C1832708,C537380, , , , 
Q18553481,Q18553481, , , , , , , , , , , , ,255.41,E71.3,"C0342871,C1849678",C536662,C170437, , , 
Q18553484,Q18553484, , , , , , , , , , , , , ,Q79.6,C1869122,C536201, , , , 
Q18553485,Q18553485, , , , , , , , , , , , , , ,C3827253, ,C111694, , , 
Q18553486,Q18553486, , , , , , , , , , , , , , ,C3828464, ,C111692, , , 
Q18553500,Q18553500, , , , , , , , , , , , ,397.0,"I07,I07.9","C0264776,C0264882", ,C78649, , , 
Q18553505,Q18553505, , , , , , , , , , , , ,"333.6,333.8,333.89","G24.1,G24.2","C0013423,C0154674,C0154675,C0393598,C0393601,C0752207",D004422,"C34564,C35437,C35438,C35527", , , 
Q18553506,Q18553506, , , , , , , , , , , , , , , , , , , , 
Q18553510,Q18553510, , , , , , , , , , , , , , , , , , , , 
Q18553511,Q18553511, , , , , , , , , , , , ,333.99, , , , , , , 
Q18553519,Q18553519, , , , , , , , , , , , , , , , ,C5105, , , 
Q18553521,Q18553521, , , , , , , , , , , , , , , , , , , , 
Q18553532,Q18553532, , , , , , , , , , , , , ,G11.2,C0752123, , , , , 
Q18553533,Q18553533,"Q16566386,Q3043268","Q16566386,Q3043268", , , , , , , , , , , ,E88.8,C3281192, , , , , 
Q18553536,Q18553536, , , , , , , , , , , , , , , , , , , , 
Q18553537,Q18553537, , , , , , , , , , , , , , , , , , , , 
Q18553544,Q18553544, , , , , , , , , , , , , , , , , , , , 
Q18553545,Q18553545, , , , , , , , , , , , , , , , , , , , 
Q18553546,Q18553546, , , , , , , , , , , , , , , , ,C129927, , , 
Q18553547,Q18553547, , , , , , , , , , , , , , , , , , , , 
Q18553548,Q18553548, , , , , , , , , , , , , , , , ,C131575, , , 
Q18553551,Q18553551, , , , , , , , , , , , , , ,C0346363, ,C4551, , , 
Q18553554,Q18553554, , , , , , , , , , , , ,209.11, ,C0334298, ,C4138, , , 
Q18553559,Q18553559, , , , , , , , , , , , , , , , , , , , 
Q18553562,Q18553562, , , , , , , , , , , , , , , , , , , , 
Q18553565,Q18553565, , ,"Q177094,Q238512,Q413299,Q417542,Q420207,Q422327","Q177094,Q238512,Q413299,Q417542,Q420207,Q422327", , , , , , , , , , ,C0151544, ,C96963, , , 
Q18553568,Q18553568, , ,Q27270371,Q27270371, , , , , , , , , , ,C0349536, ,C4638, , , 
Q18553572,Q18553572, , , , , , , , , , , , , , , , , , , , 
Q18553581,Q18553581, , , , , , , , , , , , , , , , , , , , 
Q18553590,Q18553590, , , , , , , , , , , , , , , , ,C171267, , , 
Q18553591,Q18553591, , , , , , , , , , , , , , , , , , , , 
Q18553595,Q18553595, , , , , , , , , , , , , , , , , , , , 
Q18553596,Q18553596, , , , , , , , , , , , , ,D81.2,"C2025557,C3810107", , , , , 
Q18553637,Q18553637, , , , , , , , , , , , , , , , , , , , 
Q18553643,Q18553643, , , , , , , , , , , , ,217, ,C0346156, ,C4505, , , 
Q18553645,Q18553645, , , , , , , , , , , , , , , , , , , , 
Q18553651,Q18553651, , , , , , , , , , , , , , , , , , , , 
Q18553653,Q18553653, , , , , , , , , , , , , , , , , , , , 
Q18553658,Q18553658, , , , , , , , , , , , , , ,CL971613, ,C166356, , , 
Q18553663,Q18553663, , , , , , , , , , , , , , ,C3549488, , , , , 
Q18553665,Q18553665, , , , , , , , , , , , , , , , , , , , 
Q18553668,Q18553668, , , , , , , , , , , , , , ,C0154003, ,C3611, , , 
Q18553669,Q18553669, , , , , , , , , , , , , , ,C0153997, ,C3607, , , 
Q18553673,Q18553673, , , , , , , , , , , , ,"225.8,225.9", ,C0497550, ,C4789, , , 
Q18553675,Q18553675, , , , , , , , , , , , , , ,C0496874, ,C8612, , , 
Q18553676,Q18553676, , , , , , , , , , , , , , ,C0039978,D013896,C35742, , , 
Q18553679,Q18553679, , , , , , , , , , , , , , , , , , , , 
Q18553690,Q18553690, , , , , , , , , , , , , , , , , , , , 
Q18553705,Q18553705, , , , , , , , , , , , , ,E72.8,C0342708,C535407, , , , 
Q18553707,Q18553707, , , , , , , , , , , , ,277.89,E72.8,"C0268632,C3495554",C535328, , , , 
Q18553712,Q18553712,"Abzesu,Odoljario,beherako,hantura","Q101991,Q164655,Q166019,Q40878","Kolekaltziferol,Q229924,Talidomida,azatioprina","Q139347,Q18939,Q203174,Q229924", , , , , , , , ,555.1,K50.1,C0156147, ,"C35211,C37262", , , 
Q18553713,Q18553713, , , , , , , , , , , , , ,G12.2,"C1862939,C1862941,C3542025", ,C168749, , , 
Q18553714,Q18553714, , , , , , , , , , , , , , ,C1847735,C564688, , , , 
Q18553717,Q18553717, , , , , , , , , , , , , , ,C2678468,C567499, , , , 
Q18553719,Q18553719, , , , , , , , , , , , , , ,C2675491,C567244,C168753, , , 
Q18553723,Q18553723, , , , , , , , , , , , , , ,C3275459, , , , , 
Q18553724,Q18553724, , , , , , , , , , , , , , ,C3280587, , , , , 
Q18589160,Q18589160, , , , , , , , , , , , , ,Q87.5,"C0344487,C1851710",C537878, , , , 
Q18616565,Q18616565, , , , , , , , , , , , , ,Q87.0,C1319466,C537908, , , , 
Q18966109,Q18966109, , , , , , , , , , , , , ,Q87.0,C1852718,C565171, , , , 
Q18966114,Q18966114, , , , , , , , , , , , , , ,"C1832390,C3809875",C536530, , , , 
Q18966154,Q18966154, , , , , , , , , , , , , ,Q04.3,C1842687,C548072, , , , 
Q18966155,Q18966155, , , , , , , , , , , , , ,Q04.3,C1856974,C536716, , , , 
Q18966156,Q18966156, , , , , , , , , , , , , ,Q04.3,C1857762,C537745, , , , 
Q18966158,Q18966158, , , , , , , , , , , , , ,Q04.3,C1969084,C548074, , , , 
Q18966160,Q18966160, , , , , , , , , , , , , ,Q04.3,C3554226, , , , , 
Q18966161,Q18966161, , , , , , , , , , , , , ,Q04.3,C3554209, , , , , 
Q18966162,Q18966162, , , , , , , , , , , , , ,Q04.3,C4014354, , , , , 
Q18966164,Q18966164, , , , , , , , , , , , , ,Q04.3,C4014347, , , , , 
Q18966410,Q18966410, , , , , , , , , , , , , , , , , , , , 
Q18966807,Q18966807, , , , , , , , , , , , , ,Q74.2,C2931596,C537719, , , , 
Q18966849,Q18966849, , , , , , , , , , , , ,282.49,D56.0, , ,C111905, , , 
Q18966921,Q18966921, , , , , , , , , , , , , ,Q74.0,C0574044,C537720, , , , 
Q18967008,Q18967008, , , , , , , , , , , , ,773.3,P56.0,C0455990, ,C111904, , , 
Q18967549,Q18967549, , , , , , , , , , , , ,746.4,Q23.1,C0158617, ,C103936, , , 
Q18987134,Q18987134, , , , , , , , , , , , , ,E88.8, , , , , , 
Q19001364,Q19001364, , , , , , , , , , , , , ,G11.8,C2677843,C567459, , , , 
Q19277644,Q19277644, , , , , , , , , , , , , ,Q87.5,C1857532,C536452, , , , 
Q19297696,Q19297696, , , , , , , , , , , , , ,Q87.0,C0406727,C537133, , , , 
Q19309317,Q19309317, , , , , , , , , , , , , ,Q77.8, , , , , , 
Q19309810,Q19309810, , , , , , , , , , , , , ,Q66.8, , , , , , 
Q19587393,Q19587393, , , , , , , , , , , , , ,G71.3,C3279699,C567528, , , , 
Q19709948,Q19709948, , , , , , , , , , , , , ,Q87.8,C0796162,C536680, , , , 
Q19758047,Q19758047, , , , , , , , , , , , , ,Q78.8,C1860616,C537349, , , , 
Q20828570,Q20828570, , , , , , , , , , , , , ,Q78.8,C1854470,C565349, , , , 
Q20828586,Q20828586, , , , , , , , , , , , , ,Q74.8,C1838162,C537348, , , , 
Q20828711,Q20828711, , , , , , , , , , , , ,758.89,Q76.4,C1848934,C535780, , , , 
Q20828760,Q20828760, , , , , , , , , , , , , ,Q78.8,"C1860614,C1862132",C538069, , , , 
Q21014372,Q21014372, , , , , , , , , , , , , ,Q04.8,C1857977,C537555, , , , 
Q21027078,Q21027078, , , , , , , , , , , , , ,Q33.8,C0265797,C535735,C98895, , , 
Q21045266,Q21045266, , , , , , , , , , , , , ,Q74.0,C0265565,C562548, , , , 
Q21050314,Q21050314, , , , , , , , , , , , , ,Q87.2,C1866740,C537319, , , , 
Q21082499,Q21082499, , , , , , , , , , , , , ,G11.1, , , , , , 
Q21082500,Q21082500, , , , , , , , , , , , , ,G11.2,C0752122, , , , , 
Q21082504,Q21082504, , , , , , , , , , , , , ,G11.8,C1847839,C564697, , , , 
Q21097751,Q21097751, , , , , , , , , , , , , ,G11.4,C1970107, , , , , 
Q21097757,Q21097757, , , , , , , , , , , , , ,G11.4,C1969796, ,C177252, , , 
Q21097758,Q21097758, , , , , , , , , , , , , ,G11.4,C1969645,C566956, , , , 
Q21097759,Q21097759, , , , , , , , , , , , , ,G11.4,C3150925, , , , , 
Q21097760,Q21097760, , , , , , , , , , , , , ,G11.4,C3280977, , , , , 
Q21097761,Q21097761, , , , , , , , , , , , , ,G11.4,C1862441,C566247, , , , 
Q21097765,Q21097765,"Narkolepsia,gortasun","Q12133,Q189561", , , , , , , , , , , , ,"C1858804,C3807295", , , , , 
Q21097766,Q21097766, , , , , , , , , , , , , ,G11.8,C1843884,C537197, , , , 
Q21097767,Q21097767, , , , , , , , , , , , , ,G11.2,"C1846367,C2746067","C537198,C542540",C163756, , , 
Q21097768,Q21097768, , , , , , , , , , , , , ,G11.2,C1837541,C537199, , , , 
Q21097769,Q21097769, , , , , , , , , , , , , ,G11.1,C1843891,C537200, , , , 
Q21097770,Q21097770, , , , , , , , , , , , , ,G11.8,C1837518,C537202, , , , 
Q21097771,Q21097771, , , , , , , , , , , , , ,G11.2,C1836395,C537203, , , , 
Q21097777,Q21097777, , , , , , , , , , , , , ,G11.8,"C1539956,C3888031", , , , , 
Q21097778,Q21097778, , , , , , , , , , , , , ,G11.8,C3472711, ,C148316, , , 
Q21097779,Q21097779, , , , , , , , , , , , , ,G11.8,C3889636, , , , , 
Q21097780,Q21097780, , , , , , , , , , , , , ,G11.8,C4014812, , , , , 
Q21097781,Q21097781, , , , , , , , , , , , , ,G11.8,CN219009, , , , , 
Q21097783,Q21097783, , , , , , , , , , , , , ,G11.8,C4015108, , , , , 
Q21097786,Q21097786, , , , , , , , , , , , , ,G11.2,C3150998, , , , , 
Q21097855,Q21097855, , , , , , , , , , , , , ,G11.8,C0752120, ,C129982, , , 
Q21097857,Q21097857, , , , , , , , , , , , , ,G11.2,C1837454,C537307, , , , 
Q21097858,Q21097858, , , , , , , , , , , , , ,G11.2,C1963674,C566874, , , , 
Q21097859,Q21097859, , , , , , , , , , , , , ,G11.8,C1858351, , , , , 
Q21097860,Q21097860, , , , , , , , , , , , , ,G11.2,C1858501, ,C154316, , , 
Q21097861,Q21097861, , , , , , , , , , , , , ,G11.2,C1854369,C537196, , , , 
Q21097863,Q21097863, , , , , , , , , , , , , ,G11.2,"C1847725,C2676005", , , , , 
Q21097864,Q21097864, , , , , , , , , , , , , ,G11.8,C1846707,C564616,C179861, , , 
Q21097865,Q21097865, , , , , , , , , , , , , ,G11.2,C1853250,C537201, , , , 
Q21097867,Q21097867, , , , , , , , , , , , , ,G11.8,C1836383,C537204, , , , 
Q21097868,Q21097868,Q622427,Q622427, , , , , , , , , , , ,G11.1,C1853249,C537205, , , , 
Q21097871,Q21097871, , , , , , , , , , , , , ,G11.8,C1866039,C566601, , , , 
Q21097872,Q21097872, , , , , , , , , , , , , ,G11.8,C2675211,C567207, , , , 
Q21124508,Q21124508, , , , , , , , , , , , , ,Q75.8,"C0796182,C1863616","C535657,C566345", , , , 
Q21124512,Q21124512, , , , , , , , , , , , , ,Q87.1,C1855840,C537157,C133727, , , 
