Name,Wikipedia link (en),Is it in wikidata?
"X, disease",https://en.wikipedia.org/wiki/Disease_X
Xanthine oxydase deficiency,https://en.wikipedia.org/wiki/Xanthine_oxydase_deficiency
Xanthinuria,https://en.wikipedia.org/wiki/Xanthinuria,Yes
Xanthomatosis cerebrotendinous,https://en.wikipedia.org/wiki/Xanthomatosis_cerebrotendinous
"Xerocytosis, hereditary",https://en.wikipedia.org/wiki/Hereditary_stomatocytosis#Variants
Xeroderma,https://en.wikipedia.org/wiki/Xeroderma
Xeroderma pigmentosum,https://en.wikipedia.org/wiki/Xeroderma_pigmentosum,Yes
"Xeroderma pigmentosum, type 1","https://en.wikipedia.org/wiki/Xeroderma_pigmentosum,_type_1"
"Xeroderma pigmentosum, type 2","https://en.wikipedia.org/wiki/Xeroderma_pigmentosum,_type_2"
"Xeroderma pigmentosum, type 3","https://en.wikipedia.org/wiki/Xeroderma_pigmentosum,_type_3"
"Xeroderma pigmentosum, type 5","https://en.wikipedia.org/wiki/Xeroderma_pigmentosum,_type_5"
"Xeroderma pigmentosum, type 6","https://en.wikipedia.org/wiki/Xeroderma_pigmentosum,_type_6"
"Xeroderma pigmentosum, type 7","https://en.wikipedia.org/wiki/Xeroderma_pigmentosum,_type_7"
"Xeroderma pigmentosum, variant type","https://en.wikipedia.org/wiki/Xeroderma_pigmentosum,_variant_type"
Xerophthalmia,https://en.wikipedia.org/wiki/Xerophthalmia
Xerostomia,https://en.wikipedia.org/wiki/Xerostomia
X-linked adrenal hypoplasia congenita,https://en.wikipedia.org/wiki/X-linked_adrenal_hypoplasia_congenita,Yes
X-linked adrenoleukodystrophy,https://en.wikipedia.org/wiki/X-linked_adrenoleukodystrophy
X-linked agammaglobulinemia,https://en.wikipedia.org/wiki/X-linked_agammaglobulinemia,Yes
X-linked alpha thalassemia mental retardation syndrome (ATR-X),https://en.wikipedia.org/wiki/X-linked_alpha_thalassemia_mental_retardation_syndrome_(ATR-X)
X-linked dominance,https://en.wikipedia.org/wiki/X-linked_dominance
X-linked ichthyosis,https://en.wikipedia.org/wiki/X-linked_ichthyosis,Yes
X-linked lymphoproliferative syndrome,https://en.wikipedia.org/wiki/X-linked_lymphoproliferative_syndrome
X-linked mental retardation,https://en.wikipedia.org/wiki/X-linked_mental_retardation
X-linked mental retardation and macroorchidism,https://en.wikipedia.org/wiki/X-linked_mental_retardation_and_macroorchidism
X-linked severe combined immunodeficiency,https://en.wikipedia.org/wiki/X-linked_severe_combined_immunodeficiency,Yes
X-linked trait,https://en.wikipedia.org/wiki/X-linked_trait
XX male syndrome,https://en.wikipedia.org/wiki/XX_male_syndrome,Yes
XY Female,https://en.wikipedia.org/wiki/XY_Female
XYY syndrome,https://en.wikipedia.org/wiki/XYY_syndrome,Yes
XXXX syndrome,https://en.wikipedia.org/wiki/XXXX_syndrome
XXXXX syndrome,https://en.wikipedia.org/wiki/XXXXX_syndrome
