Name,Wikipedia link (en),Is it in wikidata?
UDP-galactose-4-epimerase deficiency,https://en.wikipedia.org/wiki/UDP-galactose-4-epimerase_deficiency
Uhl anomaly,https://en.wikipedia.org/wiki/Uhl_anomaly
Ulbright–Hodes syndrome,https://en.wikipedia.org/wiki/Ulbright%E2%80%93Hodes_syndrome
Ulcerative colitis,https://en.wikipedia.org/wiki/Ulcerative_colitis,Yes
Ulerythema ophryogenesis,https://en.wikipedia.org/wiki/Ulerythema_ophryogenesis
Umbilical cord ulceration intestinal atresia,https://en.wikipedia.org/wiki/Umbilical_cord_ulceration_intestinal_atresia
Uncombable hair syndrome,https://en.wikipedia.org/wiki/Uncombable_hair_syndrome,Yes
Uniparental disomy of 11,https://en.wikipedia.org/wiki/Uniparental_disomy_of_11
Uniparental disomy of 13,https://en.wikipedia.org/wiki/Uniparental_disomy_of_13
Uniparental disomy of 14,https://en.wikipedia.org/wiki/Uniparental_disomy_of_14
Uniparental disomy of 2,https://en.wikipedia.org/wiki/Uniparental_disomy_of_2
Uniparental disomy of 6,https://en.wikipedia.org/wiki/Uniparental_disomy_of_6
Uniparental disomy,https://en.wikipedia.org/wiki/Uniparental_disomy
Unverricht–Lundborg disease,https://en.wikipedia.org/wiki/Unverricht%E2%80%93Lundborg_disease,Yes
Upington disease,https://en.wikipedia.org/wiki/Upington_disease,Yes
Urachal cancer,https://en.wikipedia.org/wiki/Urachal_cancer
Urachal cyst,https://en.wikipedia.org/wiki/Urachal_cyst,Yes
Urbach–Wiethe disease,https://en.wikipedia.org/wiki/Urbach%E2%80%93Wiethe_disease,Yes
Urban–Rogers–Meyer syndrome,https://en.wikipedia.org/wiki/Urban%E2%80%93Rogers%E2%80%93Meyer_syndrome,Yes
Urban–Schosser–Spohn syndrome,https://en.wikipedia.org/wiki/Urban%E2%80%93Schosser%E2%80%93Spohn_syndrome
Uremia,https://en.wikipedia.org/wiki/Uremia,Yes
Uridine monophosphate synthetase deficiency,https://en.wikipedia.org/wiki/Uridine_monophosphate_synthetase_deficiency
Urinary calculi,https://en.wikipedia.org/wiki/Urinary_calculi
Urinary tract neoplasm,https://en.wikipedia.org/wiki/Urinary_tract_neoplasm
Urocanase deficiency,https://en.wikipedia.org/wiki/Urocanase_deficiency
Urogenital adysplasia,https://en.wikipedia.org/wiki/Urogenital_adysplasia
Urticaria pigmentosa,https://en.wikipedia.org/wiki/Urticaria_pigmentosa
Urticaria,https://en.wikipedia.org/wiki/Urticaria
Urticaria-deafness-amyloidosis,https://en.wikipedia.org/wiki/Urticaria-deafness-amyloidosis
"Usher syndrome, type 1C","https://en.wikipedia.org/wiki/Usher_syndrome,_type_1C"
"Usher syndrome, type 1D","https://en.wikipedia.org/wiki/Usher_syndrome,_type_1D"
"Usher syndrome, type 1E","https://en.wikipedia.org/wiki/Usher_syndrome,_type_1E"
"Usher syndrome, type 2A","https://en.wikipedia.org/wiki/Usher_syndrome,_type_2A"
"Usher syndrome, type 2B","https://en.wikipedia.org/wiki/Usher_syndrome,_type_2B"
"Usher syndrome, type 2C","https://en.wikipedia.org/wiki/Usher_syndrome,_type_2C"
"Usher syndrome, type 3","https://en.wikipedia.org/wiki/Usher_syndrome,_type_3"
"Usher syndrome, type IA","https://en.wikipedia.org/wiki/Usher_syndrome,_type_IA"
"Usher syndrome, type IB","https://en.wikipedia.org/wiki/Usher_syndrome,_type_IB"
Usher syndrome,https://en.wikipedia.org/wiki/Usher_syndrome,Yes
Uveal diseases,https://en.wikipedia.org/wiki/Uveal_diseases
"Uveitis, anterior","https://en.wikipedia.org/wiki/Uveitis,_anterior"
"Uveitis, posterior","https://en.wikipedia.org/wiki/Uveitis,_posterior"
Uveitis,https://en.wikipedia.org/wiki/Uveitis,Yes
