Name,Wikipedia link (en),Redirected,Redirect link
Q fever,https://en.wikipedia.org/wiki/Q_fever,No,https://en.wikipedia.org/wiki/Q_fever
Qazi–Markouizos syndrome,https://en.wikipedia.org/wiki/Qazi%E2%80%93Markouizos_syndrome,No,https://en.wikipedia.org/wiki/Qazi%E2%80%93Markouizos_syndrome
Quadrantanopia,https://en.wikipedia.org/wiki/Quadrantanopia,No,https://en.wikipedia.org/wiki/Quadrantanopia
Quadriceps sparing myopathy,https://en.wikipedia.org/wiki/Quadriceps_Sparing_Myopathy,Yes,https://en.wikipedia.org/wiki/Hereditary_inclusion_body_myopathy
Quadriceps tendon rupture,https://en.wikipedia.org/wiki/Quadriceps_tendon_rupture,No,https://en.wikipedia.org/wiki/Quadriceps_tendon_rupture
Quadriparesis,https://en.wikipedia.org/wiki/Paresis#Limbs,No,https://en.wikipedia.org/wiki/Paresis#Limbs
Quadriplegia,https://en.wikipedia.org/wiki/Quadriplegia,Yes,https://en.wikipedia.org/wiki/Tetraplegia
Quebec platelet disorder,https://en.wikipedia.org/wiki/Quebec_platelet_disorder,No,https://en.wikipedia.org/wiki/Quebec_platelet_disorder
Queensland tick typhus,https://en.wikipedia.org/wiki/Queensland_tick_typhus,No,https://en.wikipedia.org/wiki/Queensland_tick_typhus
Quincke's edema,https://en.wikipedia.org/wiki/Quincke%27s_edema,Yes,https://en.wikipedia.org/wiki/Angioedema
Quinism,https://en.wikipedia.org/wiki/Quinism,No,https://en.wikipedia.org/wiki/Quinism
Quinquaud's decalvans folliculitis,https://en.wikipedia.org/wiki/Folliculitis_decalvans,No,https://en.wikipedia.org/wiki/Folliculitis_decalvans
Quinsy,https://en.wikipedia.org/wiki/Peritonsillar_abscess,No,https://en.wikipedia.org/wiki/Peritonsillar_abscess
